question_id,human_score,ai_score,max_marks,method
Q1_a,5,3.7,10.0,Hybrid (Vector + LLM)
Q1_a,5,4.06,10.0,Hybrid (Vector + LLM)
Q1_a,0,2.21,10.0,Hybrid (Vector + LLM)
Q1_a,5,4.8,10.0,Hybrid (Vector + LLM)
Q1_a,5,4.89,10.0,Hybrid (Vector + LLM)
Q1_a,10,3.24,10.0,Hybrid (Vector + LLM)
Q1_a,10,5.28,10.0,Hybrid (Vector + LLM)
Q1_a,3,3.12,10.0,Hybrid (Vector + LLM)
Q1_a,5,4.79,10.0,Hybrid (Vector + LLM)
Q1_a,7,3.27,10.0,Hybrid (Vector + LLM)
Q1_a,10,4.82,10.0,Hybrid (Vector + LLM)
Q1_a,5,2.8,10.0,Hybrid (Vector + LLM)
Q1_a,7,3.5,10.0,Hybrid (Vector + LLM)
Q1_a,8,5.24,10.0,Hybrid (Vector + LLM)
Q1_a,5,1.99,10.0,Hybrid (Vector + LLM)
Q1_a,10,3.6,10.0,Hybrid (Vector + LLM)
Q1_a,10,3.61,10.0,Hybrid (Vector + LLM)
Q1_a,5,3.19,10.0,Hybrid (Vector + LLM)
Q1_a,6,1.85,10.0,Hybrid (Vector + LLM)
Q1_a,8,5.64,10.0,Hybrid (Vector + LLM)
Q1_a,8,4.86,10.0,Hybrid (Vector + LLM)
Q1_b,12,4.71,15.0,Hybrid (Vector + LLM)
Q1_b,10,4.46,15.0,Hybrid (Vector + LLM)
Q1_b,5,3.84,15.0,Hybrid (Vector + LLM)
Q1_b,3,2.74,15.0,Hybrid (Vector + LLM)
Q1_b,10,5.61,15.0,Hybrid (Vector + LLM)
Q1_b,0,3.59,15.0,Hybrid (Vector + LLM)
Q1_b,10,6.01,15.0,Hybrid (Vector + LLM)
Q1_b,5,3.29,15.0,Hybrid (Vector + LLM)
Q1_b,15,6.83,15.0,Hybrid (Vector + LLM)
Q1_b,0,3.43,15.0,Hybrid (Vector + LLM)
Q1_b,5,2.94,15.0,Hybrid (Vector + LLM)
Q1_b,15,7.26,15.0,Hybrid (Vector + LLM)
Q1_b,10,2.18,15.0,Hybrid (Vector + LLM)
Q1_b,15,3.72,15.0,Hybrid (Vector + LLM)
Q1_b,10,4.17,15.0,Hybrid (Vector + LLM)
Q1_b,10,6.85,15.0,Hybrid (Vector + LLM)
Q1_b,10,5.18,15.0,Hybrid (Vector + LLM)
Q1_b,10,4.11,15.0,Hybrid (Vector + LLM)
Q1_b,0,5.83,15.0,Hybrid (Vector + LLM)
Q1_b,10,3.58,15.0,Hybrid (Vector + LLM)
Q1_b,10,5.63,15.0,Hybrid (Vector + LLM)
Q1_c,33,14.93,55.0,Hybrid (Vector + LLM)
Q1_c,35,13.69,55.0,Hybrid (Vector + LLM)
Q1_c,35,9.95,55.0,Hybrid (Vector + LLM)
Q1_c,40,15.61,55.0,Hybrid (Vector + LLM)
Q1_c,35,14.52,55.0,Hybrid (Vector + LLM)
Q1_c,48,29.72,55.0,Hybrid (Vector + LLM)
Q1_c,35,13.14,55.0,Hybrid (Vector + LLM)
Q1_c,50,24.33,55.0,Hybrid (Vector + LLM)
Q1_c,50,14.74,55.0,Hybrid (Vector + LLM)
Q1_c,33,18.58,55.0,Hybrid (Vector + LLM)
Q1_c,55,18.24,55.0,Hybrid (Vector + LLM)
Q1_c,55,24.37,55.0,Hybrid (Vector + LLM)
Q1_c,45,29.56,55.0,Hybrid (Vector + LLM)
Q1_c,45,20.95,55.0,Hybrid (Vector + LLM)
Q1_c,40,20.34,55.0,Hybrid (Vector + LLM)
Q1_c,40,14.97,55.0,Hybrid (Vector + LLM)
Q1_c,50,22.9,55.0,Hybrid (Vector + LLM)
Q1_c,45,27.94,55.0,Hybrid (Vector + LLM)
Q1_c,30,15.37,55.0,Hybrid (Vector + LLM)
Q1_c,30,12.85,55.0,Hybrid (Vector + LLM)
Q2_a,0,1.29,10.0,Hybrid (Vector + LLM)
Q2_a,0,1.34,10.0,Hybrid (Vector + LLM)
Q2_a,0,2.37,10.0,Hybrid (Vector + LLM)
Q2_a,8,4.77,10.0,Hybrid (Vector + LLM)
Q2_a,10,3.85,10.0,Hybrid (Vector + LLM)
Q2_a,0,1.43,10.0,Hybrid (Vector + LLM)
Q2_a,10,3.94,10.0,Hybrid (Vector + LLM)
Q2_a,10,5.14,10.0,Hybrid (Vector + LLM)
Q2_a,10,3.92,10.0,Hybrid (Vector + LLM)
Q2_a,0,1.45,10.0,Hybrid (Vector + LLM)
Q2_a,10,5.5,10.0,Hybrid (Vector + LLM)
Q2_a,0,1.47,10.0,Hybrid (Vector + LLM)
Q2_a,0,2.35,10.0,Hybrid (Vector + LLM)
Q2_a,10,3.09,10.0,Hybrid (Vector + LLM)
Q2_a,10,3.94,10.0,Hybrid (Vector + LLM)
Q2_b,0,6.59,45.0,Hybrid (Vector + LLM)
Q2_b,5,6.34,45.0,Hybrid (Vector + LLM)
Q2_b,10,9.65,45.0,Hybrid (Vector + LLM)
Q2_b,30,9.51,45.0,Hybrid (Vector + LLM)
Q2_b,30,15.1,45.0,Hybrid (Vector + LLM)
Q2_b,30,21.42,45.0,Hybrid (Vector + LLM)
Q2_b,35,7.5,45.0,Hybrid (Vector + LLM)
Q2_b,15,12.15,45.0,Hybrid (Vector + LLM)
Q2_b,40,17.91,45.0,Hybrid (Vector + LLM)
Q2_b,28,17.84,45.0,Hybrid (Vector + LLM)
Q2_b,35,12.86,45.0,Hybrid (Vector + LLM)
Q2_b,26,8.7,45.0,Hybrid (Vector + LLM)
Q2_b,28,23.16,45.0,Hybrid (Vector + LLM)
Q2_b,30,12.72,45.0,Hybrid (Vector + LLM)
Q2_b,16,6.47,45.0,Hybrid (Vector + LLM)
Q2_b,45,27.74,45.0,Hybrid (Vector + LLM)
Q2_b,45,27.19,45.0,Hybrid (Vector + LLM)
Q3_a,0,1.39,10.0,Hybrid (Vector + LLM)
Q3_a,6,4.04,10.0,Hybrid (Vector + LLM)
Q3_a,0,2.15,10.0,Hybrid (Vector + LLM)
Q3_a,10,5.7,10.0,Hybrid (Vector + LLM)
Q3_a,9,3.93,10.0,Hybrid (Vector + LLM)
Q3_a,8,4.77,10.0,Hybrid (Vector + LLM)
Q3_a,4,3.9,10.0,Hybrid (Vector + LLM)
Q3_a,0,2.21,10.0,Hybrid (Vector + LLM)
Q3_a,0,3.39,10.0,Hybrid (Vector + LLM)
Q3_a,5,3.26,10.0,Hybrid (Vector + LLM)
Q3_a,0,1.84,10.0,Hybrid (Vector + LLM)
Q3_a,8,4.77,10.0,Hybrid (Vector + LLM)
Q3_a,8,3.18,10.0,Hybrid (Vector + LLM)
Q3_a,6,3.57,10.0,Hybrid (Vector + LLM)
Q3_a,7,3.54,10.0,Hybrid (Vector + LLM)
Q3_a,6,2.38,10.0,Hybrid (Vector + LLM)
Q3_a,8,2.8,10.0,Hybrid (Vector + LLM)
Q3_a,8,2.38,10.0,Hybrid (Vector + LLM)
Q3_a,8,3.69,10.0,Hybrid (Vector + LLM)
Q3_b,8,3.49,15.0,Hybrid (Vector + LLM)
Q3_b,10,3.86,15.0,Hybrid (Vector + LLM)
Q3_b,5,4.75,15.0,Hybrid (Vector + LLM)
Q3_b,10,3.1,15.0,Hybrid (Vector + LLM)
Q3_b,12,3.57,15.0,Hybrid (Vector + LLM)
Q3_b,8,7.51,15.0,Hybrid (Vector + LLM)
Q3_b,0,3.11,15.0,Hybrid (Vector + LLM)
Q3_b,7,5.1,15.0,Hybrid (Vector + LLM)
Q3_b,5,3.43,15.0,Hybrid (Vector + LLM)
Q3_b,14,5.13,15.0,Hybrid (Vector + LLM)
Q3_b,12,10.35,15.0,Hybrid (Vector + LLM)
Q3_b,6,3.52,15.0,Hybrid (Vector + LLM)
Q3_b,5,4.85,15.0,Hybrid (Vector + LLM)
Q3_b,10,3.51,15.0,Hybrid (Vector + LLM)
Q3_b,7,2.13,15.0,Hybrid (Vector + LLM)
Q3_b,12,5.39,15.0,Hybrid (Vector + LLM)
Q3_c,18,11.76,25.0,Hybrid (Vector + LLM)
Q3_c,0,2.77,25.0,Hybrid (Vector + LLM)
Q3_c,10,7.72,25.0,Hybrid (Vector + LLM)
Q3_c,24,12.65,25.0,Hybrid (Vector + LLM)
Q3_c,16,12.82,25.0,Hybrid (Vector + LLM)
Q3_c,24,16.92,25.0,Hybrid (Vector + LLM)
Q3_c,12,9.47,25.0,Hybrid (Vector + LLM)
Q3_c,20,16.02,25.0,Hybrid (Vector + LLM)
Q3_c,20,8.71,25.0,Hybrid (Vector + LLM)
Q3_c,16,7.66,25.0,Hybrid (Vector + LLM)
Q3_c,20,15.06,25.0,Hybrid (Vector + LLM)
Q3_c,18,13.24,25.0,Hybrid (Vector + LLM)
Q3_c,22,12.2,25.0,Hybrid (Vector + LLM)
Q3_c,12,14.89,25.0,Hybrid (Vector + LLM)
Q3_c,22,15.97,25.0,Hybrid (Vector + LLM)
Q3_c,10,8.92,25.0,Hybrid (Vector + LLM)
Q3_c,20,7.66,25.0,Hybrid (Vector + LLM)
Q3_c,18,12.66,25.0,Hybrid (Vector + LLM)
Q3_d,25,20.04,50.0,Hybrid (Vector + LLM)
Q3_d,15,7.33,50.0,Hybrid (Vector + LLM)
Q3_d,2,7.49,50.0,Hybrid (Vector + LLM)
Q3_d,42,20.31,50.0,Hybrid (Vector + LLM)
Q3_d,44,13.7,50.0,Hybrid (Vector + LLM)
Q3_d,28,21.52,50.0,Hybrid (Vector + LLM)
Q3_d,40,28.72,50.0,Hybrid (Vector + LLM)
Q3_d,50,33.8,50.0,Hybrid (Vector + LLM)
Q3_d,25,21.14,50.0,Hybrid (Vector + LLM)
Q3_d,28,15.84,50.0,Hybrid (Vector + LLM)
Q3_d,25,20.11,50.0,Hybrid (Vector + LLM)
Q3_d,42,23.61,50.0,Hybrid (Vector + LLM)
Q3_d,45,43.89,50.0,Hybrid (Vector + LLM)
Q3_d,42,21.88,50.0,Hybrid (Vector + LLM)
Q3_d,50,18.85,50.0,Hybrid (Vector + LLM)
Q3_d,45,31.76,50.0,Hybrid (Vector + LLM)
Q3_d,42,25.38,50.0,Hybrid (Vector + LLM)
Q3_d,48,26.1,50.0,Hybrid (Vector + LLM)
Q3_d,30,21.13,50.0,Hybrid (Vector + LLM)
Q4_a,12,5.56,24.0,Hybrid (Vector + LLM)
Q4_a,20,3.58,24.0,Hybrid (Vector + LLM)
Q4_a,10,4.39,24.0,Hybrid (Vector + LLM)
Q4_a,10,8.67,24.0,Hybrid (Vector + LLM)
Q4_a,0,3.1,24.0,Hybrid (Vector + LLM)
Q4_a,12,11.8,24.0,Hybrid (Vector + LLM)
Q4_a,22,6.06,24.0,Hybrid (Vector + LLM)
Q4_a,18,6.86,24.0,Hybrid (Vector + LLM)
Q4_a,24,6.54,24.0,Hybrid (Vector + LLM)
Q4_a,18,4.69,24.0,Hybrid (Vector + LLM)
Q4_a,12,3.85,24.0,Hybrid (Vector + LLM)
Q4_a,24,13.56,24.0,Hybrid (Vector + LLM)
Q4_a,20,8.57,24.0,Hybrid (Vector + LLM)
Q4_a,20,5.03,24.0,Hybrid (Vector + LLM)
Q4_a,18,8.66,24.0,Hybrid (Vector + LLM)
Q4_a,24,13.52,24.0,Hybrid (Vector + LLM)
Q4_a,18,6.99,24.0,Hybrid (Vector + LLM)
Q4_a,18,4.43,24.0,Hybrid (Vector + LLM)
Q4_a,12,7.71,24.0,Hybrid (Vector + LLM)
Q4_b,5,5.26,36.0,Hybrid (Vector + LLM)
Q4_b,25,7.96,36.0,Hybrid (Vector + LLM)
Q4_b,8,8.43,36.0,Hybrid (Vector + LLM)
Q4_b,36,10.87,36.0,Hybrid (Vector + LLM)
Q4_b,20,14.25,36.0,Hybrid (Vector + LLM)
Q4_b,36,11.59,36.0,Hybrid (Vector + LLM)
Q4_b,20,19.64,36.0,Hybrid (Vector + LLM)
Q4_b,0,4.7,36.0,Hybrid (Vector + LLM)
Q4_b,5,9.27,36.0,Hybrid (Vector + LLM)
Q4_b,0,16.5,36.0,Hybrid (Vector + LLM)
Q4_b,15,9.73,36.0,Hybrid (Vector + LLM)
Q4_b,36,14.04,36.0,Hybrid (Vector + LLM)
Q4_b,20,14.41,36.0,Hybrid (Vector + LLM)
Q4_b,36,9.58,36.0,Hybrid (Vector + LLM)
Q4_b,36,15.79,36.0,Hybrid (Vector + LLM)
Q4_b,30,12.68,36.0,Hybrid (Vector + LLM)
Q4_b,10,6.79,36.0,Hybrid (Vector + LLM)
Q4_b,36,12.76,36.0,Hybrid (Vector + LLM)
