question_id,human_score,ai_score,max_marks,answer_type,num_concepts,confidence,method,calibrated_score,cal_scale,cal_shift
Q1_a,5,3.75,10.0,essay,4,medium,LLM Concept v3,6.21,0.75,3.397501624666041
Q1_a,5,7.5,10.0,essay,4,medium,LLM Concept v3,9.02,0.75,3.397501624666041
Q1_a,0,0.0,10.0,essay,4,high,LLM Concept v3,3.4,0.75,3.397501624666041
Q1_a,5,5.0,10.0,essay,4,high,LLM Concept v3,7.15,0.75,3.397501624666041
Q1_a,5,5.0,10.0,essay,4,high,LLM Concept v3,7.15,0.75,3.397501624666041
Q1_a,10,3.25,10.0,essay,3,high,LLM Concept v3,5.84,0.75,3.397501624666041
Q1_a,10,6.0,10.0,essay,5,high,LLM Concept v3,7.9,0.75,3.397501624666041
Q1_a,3,2.5,10.0,essay,4,medium,LLM Concept v3,5.27,0.75,3.397501624666041
Q1_a,5,6.0,10.0,essay,5,high,LLM Concept v3,7.9,0.75,3.397501624666041
Q1_a,7,3.75,10.0,essay,4,high,LLM Concept v3,6.21,0.75,3.397501624666041
Q1_a,10,6.0,10.0,essay,5,high,LLM Concept v3,7.9,0.75,3.397501624666041
Q1_a,5,2.5,10.0,essay,4,high,LLM Concept v3,5.27,0.75,3.397501624666041
Q1_a,7,6.0,10.0,essay,5,high,LLM Concept v3,7.9,0.75,3.397501624666041
Q1_a,8,8.25,10.0,essay,3,high,LLM Concept v3,9.59,0.75,3.397501624666041
Q1_a,5,1.75,10.0,essay,3,medium,LLM Concept v3,4.71,0.75,3.397501624666041
Q1_a,10,5.0,10.0,essay,4,high,LLM Concept v3,7.15,0.75,3.397501624666041
Q1_a,10,6.75,10.0,essay,3,high,LLM Concept v3,8.46,0.75,3.397501624666041
Q1_a,5,5.0,10.0,essay,3,high,LLM Concept v3,7.15,0.75,3.397501624666041
Q1_a,6,2.5,10.0,essay,4,high,LLM Concept v3,5.27,0.75,3.397501624666041
Q1_a,8,3.25,10.0,essay,3,high,LLM Concept v3,5.84,0.75,3.397501624666041
Q1_a,8,5.0,10.0,essay,3,high,LLM Concept v3,7.15,0.75,3.397501624666041
Q1_b,12,15.0,15.0,essay,3,high,LLM Concept v3,14.34,0.8745656131060732,1.2222819791494275
Q1_b,10,7.5,15.0,essay,4,high,LLM Concept v3,7.78,0.8745656131060732,1.2222819791494275
Q1_b,5,5.0,15.0,essay,3,high,LLM Concept v3,5.6,0.8745656131060732,1.2222819791494275
Q1_b,3,0.0,15.0,essay,3,high,LLM Concept v3,1.22,0.8745656131060732,1.2222819791494275
Q1_b,10,10.0,15.0,essay,3,medium,LLM Concept v3,9.97,0.8745656131060732,1.2222819791494275
Q1_b,0,5.0,15.0,essay,3,medium,LLM Concept v3,5.6,0.8745656131060732,1.2222819791494275
Q1_b,10,12.5,15.0,essay,3,high,LLM Concept v3,12.15,0.8745656131060732,1.2222819791494275
Q1_b,5,7.5,15.0,essay,3,high,LLM Concept v3,7.78,0.8745656131060732,1.2222819791494275
Q1_b,15,15.0,15.0,essay,4,high,LLM Concept v3,14.34,0.8745656131060732,1.2222819791494275
Q1_b,0,3.75,15.0,essay,4,high,LLM Concept v3,4.5,0.8745656131060732,1.2222819791494275
Q1_b,5,5.0,15.0,essay,3,high,LLM Concept v3,5.6,0.8745656131060732,1.2222819791494275
Q1_b,15,7.5,15.0,essay,3,high,LLM Concept v3,7.78,0.8745656131060732,1.2222819791494275
Q1_b,10,10.0,15.0,essay,3,high,LLM Concept v3,9.97,0.8745656131060732,1.2222819791494275
Q1_b,15,12.5,15.0,essay,3,high,LLM Concept v3,12.15,0.8745656131060732,1.2222819791494275
Q1_b,10,10.0,15.0,essay,3,medium,LLM Concept v3,9.97,0.8745656131060732,1.2222819791494275
Q1_b,10,9.5,15.0,essay,4,high,LLM Concept v3,9.53,0.8745656131060732,1.2222819791494275
Q1_b,10,10.0,15.0,essay,3,high,LLM Concept v3,9.97,0.8745656131060732,1.2222819791494275
Q1_b,10,7.5,15.0,essay,3,high,LLM Concept v3,7.78,0.8745656131060732,1.2222819791494275
Q1_b,0,0.0,15.0,essay,3,high,LLM Concept v3,1.22,0.8745656131060732,1.2222819791494275
Q1_b,10,5.0,15.0,essay,3,high,LLM Concept v3,5.6,0.8745656131060732,1.2222819791494275
Q1_b,10,12.5,15.0,essay,3,high,LLM Concept v3,12.15,0.8745656131060732,1.2222819791494275
Q1_c,33,4.5,55.0,essay,12,high,LLM Concept v3,13.38,0.75,10.0
Q1_c,35,7.5,55.0,essay,11,medium,LLM Concept v3,15.62,0.75,10.0
Q1_c,35,5.0,55.0,essay,11,high,LLM Concept v3,13.75,0.75,10.0
Q1_c,40,30.0,55.0,essay,11,high,LLM Concept v3,32.5,0.75,10.0
Q1_c,35,50.0,55.0,essay,11,high,LLM Concept v3,47.5,0.75,10.0
Q1_c,48,45.0,55.0,essay,11,high,LLM Concept v3,43.75,0.75,10.0
Q1_c,35,15.0,55.0,essay,11,medium,LLM Concept v3,21.25,0.75,10.0
Q1_c,50,37.5,55.0,essay,11,medium,LLM Concept v3,38.12,0.75,10.0
Q1_c,50,35.0,55.0,essay,11,high,LLM Concept v3,36.25,0.75,10.0
Q1_c,33,40.0,55.0,essay,11,high,LLM Concept v3,40.0,0.75,10.0
Q1_c,55,45.0,55.0,essay,11,high,LLM Concept v3,43.75,0.75,10.0
Q1_c,55,52.5,55.0,essay,11,high,LLM Concept v3,49.38,0.75,10.0
Q1_c,45,50.0,55.0,essay,11,high,LLM Concept v3,47.5,0.75,10.0
Q1_c,45,37.5,55.0,essay,11,high,LLM Concept v3,38.12,0.75,10.0
Q1_c,40,50.0,55.0,essay,11,high,LLM Concept v3,47.5,0.75,10.0
Q1_c,40,25.0,55.0,essay,11,high,LLM Concept v3,28.75,0.75,10.0
Q1_c,50,25.0,55.0,essay,11,medium,LLM Concept v3,28.75,0.75,10.0
Q1_c,45,55.0,55.0,essay,11,high,LLM Concept v3,51.25,0.75,10.0
Q1_c,30,25.0,55.0,essay,11,high,LLM Concept v3,28.75,0.75,10.0
Q1_c,30,17.5,55.0,essay,11,high,LLM Concept v3,23.12,0.75,10.0
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3,0.84,1.3076009501187646,0.8413301662707847
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3,0.84,1.3076009501187646,0.8413301662707847
Q2_a,0,3.25,10.0,essay,3,high,LLM Concept v3,5.09,1.3076009501187646,0.8413301662707847
Q2_a,8,3.25,10.0,essay,3,high,LLM Concept v3,5.09,1.3076009501187646,0.8413301662707847
Q2_a,10,3.25,10.0,essay,6,high,LLM Concept v3,5.09,1.3076009501187646,0.8413301662707847
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3,0.84,1.3076009501187646,0.8413301662707847
Q2_a,10,5.0,10.0,essay,3,high,LLM Concept v3,7.38,1.3076009501187646,0.8413301662707847
Q2_a,10,10.0,10.0,essay,3,high,LLM Concept v3,10.0,1.3076009501187646,0.8413301662707847
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3,9.67,1.3076009501187646,0.8413301662707847
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3,0.84,1.3076009501187646,0.8413301662707847
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3,9.67,1.3076009501187646,0.8413301662707847
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3,0.84,1.3076009501187646,0.8413301662707847
Q2_a,0,1.75,10.0,essay,3,medium,LLM Concept v3,3.13,1.3076009501187646,0.8413301662707847
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3,9.67,1.3076009501187646,0.8413301662707847
Q2_a,10,3.25,10.0,essay,3,high,LLM Concept v3,5.09,1.3076009501187646,0.8413301662707847
Q2_b,0,0.0,45.0,essay,10,high,LLM Concept v3,9.37,0.999859592631421,9.37003191927512
Q2_b,5,0.0,45.0,essay,10,high,LLM Concept v3,9.37,0.999859592631421,9.37003191927512
Q2_b,10,12.75,45.0,essay,7,high,LLM Concept v3,22.12,0.999859592631421,9.37003191927512
Q2_b,30,27.0,45.0,essay,10,high,LLM Concept v3,36.37,0.999859592631421,9.37003191927512
Q2_b,30,15.75,45.0,essay,10,high,LLM Concept v3,25.12,0.999859592631421,9.37003191927512
Q2_b,30,15.75,45.0,essay,10,high,LLM Concept v3,25.12,0.999859592631421,9.37003191927512
Q2_b,35,9.0,45.0,essay,10,medium,LLM Concept v3,18.37,0.999859592631421,9.37003191927512
Q2_b,15,17.0,45.0,essay,8,high,LLM Concept v3,26.37,0.999859592631421,9.37003191927512
Q2_b,40,22.5,45.0,essay,4,high,LLM Concept v3,31.87,0.999859592631421,9.37003191927512
Q2_b,28,30.0,45.0,essay,9,high,LLM Concept v3,39.37,0.999859592631421,9.37003191927512
Q2_b,35,20.25,45.0,essay,10,medium,LLM Concept v3,29.62,0.999859592631421,9.37003191927512
Q2_b,26,22.5,45.0,essay,9,high,LLM Concept v3,31.87,0.999859592631421,9.37003191927512
