question_id,human_score,ai_score,max_marks,method
Q1_a,5,3.91,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,5.31,10.0,Gated Hybrid (Context-Aware)
Q1_a,0,1.0,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,5.48,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,5.39,10.0,Gated Hybrid (Context-Aware)
Q1_a,10,2.0,10.0,Gated Hybrid (Context-Aware)
Q1_a,10,6.79,10.0,Gated Hybrid (Context-Aware)
Q1_a,3,2.0,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,6.48,10.0,Gated Hybrid (Context-Aware)
Q1_a,7,5.32,10.0,Gated Hybrid (Context-Aware)
Q1_a,10,5.87,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,3.73,10.0,Gated Hybrid (Context-Aware)
Q1_a,7,4.84,10.0,Gated Hybrid (Context-Aware)
Q1_a,8,5.9,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,1.5,10.0,Gated Hybrid (Context-Aware)
Q1_a,10,4.99,10.0,Gated Hybrid (Context-Aware)
Q1_a,10,5.91,10.0,Gated Hybrid (Context-Aware)
Q1_a,5,5.26,10.0,Gated Hybrid (Context-Aware)
Q1_a,6,3.75,10.0,Gated Hybrid (Context-Aware)
Q1_a,8,6.54,10.0,Gated Hybrid (Context-Aware)
Q1_a,8,5.32,10.0,Gated Hybrid (Context-Aware)
Q1_b,12,9.32,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,6.47,15.0,Gated Hybrid (Context-Aware)
Q1_b,5,3.5,15.0,Gated Hybrid (Context-Aware)
Q1_b,3,1.0,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,11.08,15.0,Gated Hybrid (Context-Aware)
Q1_b,0,7.71,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,7.97,15.0,Gated Hybrid (Context-Aware)
Q1_b,5,5.35,15.0,Gated Hybrid (Context-Aware)
Q1_b,15,9.72,15.0,Gated Hybrid (Context-Aware)
Q1_b,0,7.98,15.0,Gated Hybrid (Context-Aware)
Q1_b,5,3.0,15.0,Gated Hybrid (Context-Aware)
Q1_b,15,8.63,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,6.5,15.0,Gated Hybrid (Context-Aware)
Q1_b,15,9.54,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,7.53,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,9.56,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,2.5,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,5.9,15.0,Gated Hybrid (Context-Aware)
Q1_b,0,6.5,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,1.5,15.0,Gated Hybrid (Context-Aware)
Q1_b,10,9.49,15.0,Gated Hybrid (Context-Aware)
Q1_c,33,23.21,55.0,Gated Hybrid (Context-Aware)
Q1_c,35,25.6,55.0,Gated Hybrid (Context-Aware)
Q1_c,35,13.0,55.0,Gated Hybrid (Context-Aware)
Q1_c,40,24.74,55.0,Gated Hybrid (Context-Aware)
Q1_c,35,27.75,55.0,Gated Hybrid (Context-Aware)
Q1_c,48,25.78,55.0,Gated Hybrid (Context-Aware)
Q1_c,35,7.0,55.0,Gated Hybrid (Context-Aware)
Q1_c,50,23.73,55.0,Gated Hybrid (Context-Aware)
Q1_c,50,33.05,55.0,Gated Hybrid (Context-Aware)
Q1_c,33,26.71,55.0,Gated Hybrid (Context-Aware)
Q1_c,55,26.81,55.0,Gated Hybrid (Context-Aware)
Q1_c,55,30.97,55.0,Gated Hybrid (Context-Aware)
Q1_c,45,32.69,55.0,Gated Hybrid (Context-Aware)
Q1_c,45,28.55,55.0,Gated Hybrid (Context-Aware)
Q1_c,40,27.5,55.0,Gated Hybrid (Context-Aware)
Q1_c,40,22.84,55.0,Gated Hybrid (Context-Aware)
Q1_c,50,30.88,55.0,Gated Hybrid (Context-Aware)
Q1_c,45,34.89,55.0,Gated Hybrid (Context-Aware)
Q1_c,30,22.69,55.0,Gated Hybrid (Context-Aware)
Q1_c,30,21.63,55.0,Gated Hybrid (Context-Aware)
Q2_a,0,0.0,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,0.5,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,1.0,10.0,Gated Hybrid (Context-Aware)
Q2_a,8,4.35,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,4.83,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,0.0,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,5.14,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,6.73,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,4.61,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,0.0,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,5.19,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,0.0,10.0,Gated Hybrid (Context-Aware)
Q2_a,0,1.5,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,4.55,10.0,Gated Hybrid (Context-Aware)
Q2_a,10,4.94,10.0,Gated Hybrid (Context-Aware)
Q2_b,0,1.0,45.0,Gated Hybrid (Context-Aware)
Q2_b,5,3.0,45.0,Gated Hybrid (Context-Aware)
Q2_b,10,1.0,45.0,Gated Hybrid (Context-Aware)
Q2_b,30,17.26,45.0,Gated Hybrid (Context-Aware)
Q2_b,30,20.3,45.0,Gated Hybrid (Context-Aware)
Q2_b,30,29.3,45.0,Gated Hybrid (Context-Aware)
Q2_b,35,11.0,45.0,Gated Hybrid (Context-Aware)
Q2_b,15,22.52,45.0,Gated Hybrid (Context-Aware)
Q2_b,40,31.43,45.0,Gated Hybrid (Context-Aware)
Q2_b,28,20.17,45.0,Gated Hybrid (Context-Aware)
Q2_b,35,25.21,45.0,Gated Hybrid (Context-Aware)
Q2_b,26,23.38,45.0,Gated Hybrid (Context-Aware)
Q2_b,28,32.61,45.0,Gated Hybrid (Context-Aware)
Q2_b,30,21.75,45.0,Gated Hybrid (Context-Aware)
Q2_b,16,3.0,45.0,Gated Hybrid (Context-Aware)
Q2_b,45,27.81,45.0,Gated Hybrid (Context-Aware)
Q2_b,45,22.45,45.0,Gated Hybrid (Context-Aware)
Q3_a,0,4.6,10.0,Gated Hybrid (Context-Aware)
Q3_a,6,6.15,10.0,Gated Hybrid (Context-Aware)
Q3_a,0,2.0,10.0,Gated Hybrid (Context-Aware)
Q3_a,10,5.35,10.0,Gated Hybrid (Context-Aware)
Q3_a,9,6.29,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,5.13,10.0,Gated Hybrid (Context-Aware)
Q3_a,4,1.0,10.0,Gated Hybrid (Context-Aware)
Q3_a,0,3.76,10.0,Gated Hybrid (Context-Aware)
Q3_a,0,4.93,10.0,Gated Hybrid (Context-Aware)
Q3_a,5,5.31,10.0,Gated Hybrid (Context-Aware)
Q3_a,0,1.0,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,5.81,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,6.39,10.0,Gated Hybrid (Context-Aware)
Q3_a,6,3.95,10.0,Gated Hybrid (Context-Aware)
Q3_a,7,3.89,10.0,Gated Hybrid (Context-Aware)
Q3_a,6,1.5,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,5.18,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,3.96,10.0,Gated Hybrid (Context-Aware)
Q3_a,8,5.36,10.0,Gated Hybrid (Context-Aware)
Q3_b,8,3.0,15.0,Gated Hybrid (Context-Aware)
Q3_b,10,5.84,15.0,Gated Hybrid (Context-Aware)
Q3_b,5,6.01,15.0,Gated Hybrid (Context-Aware)
Q3_b,10,5.56,15.0,Gated Hybrid (Context-Aware)
Q3_b,12,8.2,15.0,Gated Hybrid (Context-Aware)
Q3_b,8,6.87,15.0,Gated Hybrid (Context-Aware)
Q3_b,0,1.0,15.0,Gated Hybrid (Context-Aware)
Q3_b,7,8.54,15.0,Gated Hybrid (Context-Aware)
Q3_b,5,3.0,15.0,Gated Hybrid (Context-Aware)
Q3_b,14,8.03,15.0,Gated Hybrid (Context-Aware)
Q3_b,12,14.0,15.0,Gated Hybrid (Context-Aware)
Q3_b,6,1.5,15.0,Gated Hybrid (Context-Aware)
Q3_b,5,6.43,15.0,Gated Hybrid (Context-Aware)
Q3_b,10,6.16,15.0,Gated Hybrid (Context-Aware)
Q3_b,7,1.0,15.0,Gated Hybrid (Context-Aware)
Q3_b,12,8.97,15.0,Gated Hybrid (Context-Aware)
Q3_c,18,15.44,25.0,Gated Hybrid (Context-Aware)
Q3_c,0,0.0,25.0,Gated Hybrid (Context-Aware)
Q3_c,10,11.04,25.0,Gated Hybrid (Context-Aware)
Q3_c,24,14.55,25.0,Gated Hybrid (Context-Aware)
Q3_c,16,13.88,25.0,Gated Hybrid (Context-Aware)
Q3_c,24,14.71,25.0,Gated Hybrid (Context-Aware)
Q3_c,12,13.52,25.0,Gated Hybrid (Context-Aware)
Q3_c,20,18.72,25.0,Gated Hybrid (Context-Aware)
Q3_c,20,17.44,25.0,Gated Hybrid (Context-Aware)
Q3_c,16,9.49,25.0,Gated Hybrid (Context-Aware)
Q3_c,20,13.76,25.0,Gated Hybrid (Context-Aware)
Q3_c,18,14.65,25.0,Gated Hybrid (Context-Aware)
Q3_c,22,13.04,25.0,Gated Hybrid (Context-Aware)
Q3_c,12,16.77,25.0,Gated Hybrid (Context-Aware)
Q3_c,22,14.54,25.0,Gated Hybrid (Context-Aware)
Q3_c,10,14.73,25.0,Gated Hybrid (Context-Aware)
Q3_c,20,13.2,25.0,Gated Hybrid (Context-Aware)
Q3_c,18,16.75,25.0,Gated Hybrid (Context-Aware)
Q3_d,25,20.53,50.0,Gated Hybrid (Context-Aware)
Q3_d,15,5.0,50.0,Gated Hybrid (Context-Aware)
Q3_d,2,4.0,50.0,Gated Hybrid (Context-Aware)
Q3_d,42,21.78,50.0,Gated Hybrid (Context-Aware)
Q3_d,44,25.28,50.0,Gated Hybrid (Context-Aware)
Q3_d,28,20.89,50.0,Gated Hybrid (Context-Aware)
Q3_d,40,30.75,50.0,Gated Hybrid (Context-Aware)
Q3_d,50,37.57,50.0,Gated Hybrid (Context-Aware)
Q3_d,25,34.74,50.0,Gated Hybrid (Context-Aware)
Q3_d,28,12.0,50.0,Gated Hybrid (Context-Aware)
Q3_d,25,25.17,50.0,Gated Hybrid (Context-Aware)
Q3_d,42,32.26,50.0,Gated Hybrid (Context-Aware)
Q3_d,45,34.74,50.0,Gated Hybrid (Context-Aware)
Q3_d,42,29.14,50.0,Gated Hybrid (Context-Aware)
Q3_d,50,27.7,50.0,Gated Hybrid (Context-Aware)
Q3_d,45,35.72,50.0,Gated Hybrid (Context-Aware)
Q3_d,42,32.7,50.0,Gated Hybrid (Context-Aware)
Q3_d,48,27.89,50.0,Gated Hybrid (Context-Aware)
Q3_d,30,11.0,50.0,Gated Hybrid (Context-Aware)
Q4_a,12,8.59,24.0,Gated Hybrid (Context-Aware)
Q4_a,20,1.0,24.0,Gated Hybrid (Context-Aware)
Q4_a,10,3.0,24.0,Gated Hybrid (Context-Aware)
Q4_a,10,11.93,24.0,Gated Hybrid (Context-Aware)
Q4_a,0,0.0,24.0,Gated Hybrid (Context-Aware)
Q4_a,12,11.14,24.0,Gated Hybrid (Context-Aware)
Q4_a,22,5.0,24.0,Gated Hybrid (Context-Aware)
Q4_a,18,9.97,24.0,Gated Hybrid (Context-Aware)
Q4_a,24,9.49,24.0,Gated Hybrid (Context-Aware)
Q4_a,18,4.0,24.0,Gated Hybrid (Context-Aware)
Q4_a,12,1.5,24.0,Gated Hybrid (Context-Aware)
Q4_a,24,12.77,24.0,Gated Hybrid (Context-Aware)
Q4_a,20,11.12,24.0,Gated Hybrid (Context-Aware)
