question_id,human_score,ai_score,max_marks,method
Q1_a,10,3.5,10.0,LLM Concept + Relevance Penalty
Q1_a,7,4.0,10.0,LLM Concept + Relevance Penalty
Q3_b,5,6.0,15.0,LLM Concept + Relevance Penalty
Q2_b,5,0.0,45.0,LLM Concept + Relevance Penalty
Q2_a,10,4.0,10.0,LLM Concept + Relevance Penalty
Q1_c,40,18.0,55.0,LLM Concept + Relevance Penalty
Q3_c,22,17.0,25.0,LLM Concept + Relevance Penalty
Q4_a,24,14.0,24.0,LLM Concept + Relevance Penalty
Q4_b,30,22.0,36.0,LLM Concept + Relevance Penalty
Q4_a,18,7.0,24.0,LLM Concept + Relevance Penalty
